DAC Code, ADC Value, PSW
44,100000010010101101111101,1101
44,100000010010101110010110,1101
44,100000010010101110000110,1101
44,100000010010101101111000,1101
44,100000010010101101101000,1101
44,100000010010101101011100,1101
44,100000010010101101101000,1101
45,100000010010110011010111,1101
45,100000010010110011001000,1101
45,100000010010110011000001,1101
45,100000010010110011000111,1101
45,100000010010110011001001,1101
45,100000010010110010110110,1101
45,100000010010110010101110,1101
45,100000010010110011000101,1101
45,100000010010110010101000,1101
45,100000010010110010011101,1101
46,100000010010110011001101,1101
46,100000010010110010111100,1101
46,100000010010110010101101,1101
46,100000010010110011000100,1101
46,100000010010110011011001,1101
46,100000010010110011010010,1101
46,100000010010110011000100,1101
46,100000010010110011000010,1101
46,100000010010110011011000,1101
46,100000010010110011110000,1101
47,100000010010110110010001,1101
47,100000010010110101111110,1101
47,100000010010110101101110,1101
47,100000010010110101110001,1101
47,100000010010110101110101,1101
47,100000010010110110000001,1101
47,100000010010110110000010,1101
47,100000010010110110010010,1101
47,100000010010110110001111,1101
47,100000010010110101111110,1101
48,100000011101010100100110,1101
48,100000011101010110000010,1101
48,100000011101011000011001,1101
48,100000011101011000101101,1101
48,100000011101011000101011,1101
48,100000011101011001001000,1101
48,100000011101011001100101,1101
48,100000011101011010100101,1101
48,100000011101011011101100,1101
48,100000011101011100000101,1101
49,100000011110000001101111,1101
49,100000011110000001101100,1101
49,100000011110000001010010,1101
49,100000011110000001100000,1101
49,100000011110000011000000,1101
49,100000011110000010010110,1101
49,100000011110000001010001,1101
49,100000011110000001011011,1101
49,100000011110000001010110,1101
49,100000011110000001101110,1101
50,100000011110100001010001,1101
50,100000011110100001011010,1101
50,100000011110100001111111,1101
50,100000011110100001001101,1101
50,100000011110100000011011,1101
50,100000011110100000100000,1101
50,100000011110011111110110,1101
50,100000011110100000000001,1101
50,100000011110100000110010,1101
50,100000011110100010010010,1101
51,100000011111000001011001,1101
51,100000011110111111101001,1101
51,100000011110111110110101,1101
51,100000011110111111000100,1101
51,100000011110111110010111,1101
51,100000011110111110101111,1101
51,100000011110111110101101,1101
51,100000011110111101101011,1101
51,100000011110111100010000,1101
